Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),19.01,17.55,21.01,20.93,20.62,20.22,19.70,18.97,18.12,17.84,17.70,17.58
Time To Second Token (ms),4.55,4.13,4.91,4.91,4.89,4.87,4.70,4.58,4.39,4.23,4.18,4.14
Request Latency (ms),971.74,965.45,975.83,975.64,974.90,973.98,973.53,972.71,970.94,967.70,966.58,965.68
Inter Token Latency (ms),4.04,3.91,4.18,4.18,4.18,4.17,4.14,4.02,3.95,3.93,3.92,3.91
Output Token Throughput Per User (tokens/sec/user),247.60,238.96,255.99,255.85,255.32,254.66,252.94,248.90,241.53,239.99,239.47,239.06
Output Sequence Length (tokens),236.90,228.00,245.00,244.91,244.55,244.10,242.25,237.50,231.50,229.80,228.90,228.18
Input Sequence Length (tokens),200.10,200.00,201.00,200.91,200.55,200.10,200.00,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (tokens/sec),243.71
Request Throughput (per sec),1.03
Request Count (count),10.00
